Time resolution is 1 ps
timer = 0, clk_divided = x, clk1 = x, clk2 = x, execute_instruction_flag = x, stop = x, pc_out = xxxxx, LorEinstr = x, LoIorO = x, opcode_test = xxx, memory_out = xxxxxxxx, data_out = xxxxxxxxx
timer = 128000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 01101, LorEinstr = 1, LoIorO = 0, opcode_test = 101, memory_out = 10111100, data_out = 100000000

timer = 129000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 01101, LorEinstr = 1, LoIorO = 0, opcode_test = 101, memory_out = 10111100, data_out = 100000000

timer = 130000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 1, LoIorO = 1, opcode_test = 101, memory_out = 00000000, data_out = 100000000

timer = 131000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 1, LoIorO = 1, opcode_test = 101, memory_out = 00000000, data_out = 100000000

timer = 132000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 1, LoIorO = 1, opcode_test = 101, memory_out = 00000000, data_out = 100000000

timer = 133000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 1, LoIorO = 1, opcode_test = 101, memory_out = 00000000, data_out = 100000000

timer = 134000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 0, LoIorO = 1, opcode_test = 101, memory_out = 00000000, data_out = 100000000

timer = 135000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 0, LoIorO = 1, opcode_test = 101, memory_out = 00000000, data_out = 100000000

timer = 136000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 137000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 138000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 139000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 140000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 1, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 141000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 01110, LorEinstr = 1, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 142000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 143000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 144000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 145000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 146000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 0, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 147000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 0, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 148000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 0, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 100000000

timer = 149000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 0, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 100000000

timer = 150000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 0, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 100000000

timer = 151000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 0, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 100000000

timer = 152000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 1, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 100000000

timer = 153000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10000, LorEinstr = 1, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 100000000

timer = 154000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 1, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 100000000

timer = 155000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 1, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 100000000

timer = 156000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 1, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 100000000

timer = 157000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 1, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 100000000

timer = 158000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 0, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 111111111

timer = 159000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 0, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 111111111

timer = 160000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 011111111

timer = 161000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 011111111

timer = 162000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 011111111

timer = 163000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 011111111

timer = 164000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 1, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 011111111

timer = 165000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10001, LorEinstr = 1, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 011111111

timer = 166000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 011111111

timer = 167000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 011111111

timer = 168000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 011111111

timer = 169000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 011111111

timer = 170000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 0, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 011111111

timer = 171000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 0, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 011111111

timer = 172000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 0, LoIorO = 0, opcode_test = 111, memory_out = 11110100, data_out = 011111111

timer = 173000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 0, LoIorO = 0, opcode_test = 111, memory_out = 11110100, data_out = 011111111

timer = 174000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 0, LoIorO = 0, opcode_test = 111, memory_out = 11110100, data_out = 011111111

timer = 175000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 0, LoIorO = 0, opcode_test = 111, memory_out = 11110100, data_out = 011111111

timer = 176000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 1, LoIorO = 0, opcode_test = 111, memory_out = 11110100, data_out = 011111111

timer = 177000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10010, LorEinstr = 1, LoIorO = 0, opcode_test = 111, memory_out = 11110100, data_out = 011111111

timer = 178000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 1, LoIorO = 1, opcode_test = 111, memory_out = 10011011, data_out = 011111111

timer = 179000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 1, LoIorO = 1, opcode_test = 111, memory_out = 10011011, data_out = 011111111

timer = 180000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 1, LoIorO = 1, opcode_test = 111, memory_out = 10011011, data_out = 011111111

timer = 181000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 1, LoIorO = 1, opcode_test = 111, memory_out = 10011011, data_out = 011111111

timer = 182000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 0, LoIorO = 1, opcode_test = 111, memory_out = 10011011, data_out = 011111111

timer = 183000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 0, LoIorO = 1, opcode_test = 111, memory_out = 10011011, data_out = 011111111

timer = 184000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 0, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 011111111

timer = 185000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 0, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 011111111

timer = 186000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 0, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 011111111

timer = 187000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 0, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 011111111

timer = 188000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 1, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 011111111

timer = 189000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10100, LorEinstr = 1, LoIorO = 0, opcode_test = 100, memory_out = 10011011, data_out = 011111111

timer = 190000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 1, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 011111111

timer = 191000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 1, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 011111111

timer = 192000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 1, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 011111111

timer = 193000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 1, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 011111111

timer = 194000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 0, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 000000000

timer = 195000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 0, LoIorO = 1, opcode_test = 100, memory_out = 11111111, data_out = 000000000

timer = 196000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 197000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 198000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 199000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 0, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 200000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 1, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 201000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10101, LorEinstr = 1, LoIorO = 0, opcode_test = 001, memory_out = 00100000, data_out = 100000000

timer = 202000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10111, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 203000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10111, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 204000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10111, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 205000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10111, LorEinstr = 1, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 206000, clk_divided = 1, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10111, LorEinstr = 0, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 207000, clk_divided = 0, clk1 = 1, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10111, LorEinstr = 0, LoIorO = 1, opcode_test = 001, memory_out = 11111110, data_out = 100000000

timer = 208000, clk_divided = 1, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10111, LorEinstr = 0, LoIorO = 0, opcode_test = 000, memory_out = 00000000, data_out = 100000000

timer = 209000, clk_divided = 0, clk1 = 1, clk2 = 1, execute_instruction_flag = 1, stop = 0, pc_out = 10111, LorEinstr = 0, LoIorO = 0, opcode_test = 000, memory_out = 00000000, data_out = 100000000

timer = 210000, clk_divided = 1, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10111, LorEinstr = 0, LoIorO = 0, opcode_test = 000, memory_out = 00000000, data_out = 100000000

timer = 211000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 0, pc_out = 10111, LorEinstr = 0, LoIorO = 0, opcode_test = 000, memory_out = 00000000, data_out = 100000000

timer = 212000, clk_divided = 0, clk1 = 0, clk2 = 0, execute_instruction_flag = 1, stop = 1, pc_out = 10111, LorEinstr = 1, LoIorO = 0, opcode_test = 000, memory_out = 00000000, data_out = 100000000

$stop called at time : 501100 ps : File "E:/BKU/year_3/SEMESTER 1/project_HDL/codes/project_1.srcs/sources_1/new/CPU_testbench.v" Line 51
